# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
5.500000000000000000e+00,3.703961426241155647e-14,5.845129691381942238e-09,5.856683008155958456e-09,2.112397025585364219e+01,2.162315537922564346e+01
5.549999999999999822e+00,4.155859621776943462e-14,7.358513922353965095e-09,7.373063817017706420e-09,2.087394954884703679e+01,2.137313483363050892e+01
5.599999999999999645e+00,4.662883897344631714e-14,9.263675763200486837e-09,9.282048108676246604e-09,2.062379003751613737e+01,2.112297551256065731e+01
5.650000000000000355e+00,5.231757069056604095e-14,1.166191658388766187e-08,1.168528012563671942e-08,2.037346157195126040e+01,2.087264423446070083e+01
5.700000000000000178e+00,5.870021333091423571e-14,1.468071793729406523e-08,1.471071790423720746e-08,2.012291240526052150e+01,2.062208697189983297e+01
5.750000000000000000e+00,6.586138005077519046e-14,1.848055267556126300e-08,1.851944503522242400e-08,1.987202556552483657e+01,2.037118635651109599e+01
5.799999999999999822e+00,7.389599367379375483e-14,2.326330504675754470e-08,2.331424443903492244e-08,1.962074978007414927e+01,2.011988900780691125e+01
5.849999999999999645e+00,8.291054085594517045e-14,2.928311559976250522e-08,2.935039264118548898e-08,1.936894198291656721e+01,1.986805222508577629e+01
5.900000000000000355e+00,9.302447829717141852e-14,3.685977496080366114e-08,3.694924589039375913e-08,1.911648611979357071e+01,1.961555996649001088e+01
5.950000000000000178e+00,1.043718092974620392e-13,4.639551825072365744e-08,4.651534272577429773e-08,1.886334688378899216e+01,1.936237588417467492e+01
6.000000000000000000e+00,1.171028511219639784e-13,5.839648846708425415e-08,5.855793180581903901e-08,1.860940193761057060e+01,1.910837884525787445e+01
6.049999999999999822e+00,1.313862160538762547e-13,7.349920749985849277e-08,7.371806962885663351e-08,1.835457243003100558e+01,1.885349232945844733e+01
6.099999999999999645e+00,1.474110317012346119e-13,9.250463173665096695e-08,9.280272773872110017e-08,1.809863291706420796e+01,1.859750026701907188e+01
6.150000000000000355e+00,1.653894291120090201e-13,1.164202915147255138e-07,1.168277242723512916e-07,1.784130636718737861e+01,1.834013642342751638e+01
6.200000000000000178e+00,1.855593305710173080e-13,1.465130645518696826e-07,1.470717580398488278e-07,1.758226962197503696e+01,1.808108003127675545e+01
6.250000000000000000e+00,2.081875726336373658e-13,1.843753380632308144e-07,1.851444171127888797e-07,1.732109378483196593e+01,1.781988171742247573e+01
6.299999999999999822e+00,2.335734040284051534e-13,2.320076134592084248e-07,2.330717736405709506e-07,1.705695628115769580e+01,1.755566402707279394e+01
6.349999999999999645e+00,2.620524025678465541e-13,2.919217972653619657e-07,2.934041052545986041e-07,1.678818672097281706e+01,1.728666146770349599e+01
6.400000000000000355e+00,2.940008601794374378e-13,3.672690036032943088e-07,3.693514640182363270e-07,1.651332988911433119e+01,1.701125908920450769e+01
6.450000000000000178e+00,3.298406906414646817e-13,4.619990736967649680e-07,4.649542770596213732e-07,1.623191593656331833e+01,1.672880719457822352e+01
6.500000000000000000e+00,3.700449206155140898e-13,5.810630178296451893e-07,5.852980276051230604e-07,1.594188966381322814e+01,1.643709828322975142e+01
6.549999999999999822e+00,4.151438311391840274e-13,7.306621378759306697e-07,7.367833874862292726e-07,1.564478566282004124e+01,1.613729497360485965e+01
6.599999999999999645e+00,4.657318239053940956e-13,9.185473550748199193e-07,9.274661044714349091e-07,1.534385235161432348e+01,1.583150671350350791e+01
6.650000000000000355e+00,5.224750944263916113e-13,1.154357982668756183e-06,1.167484628239489859e-06,1.504092239246462981e+01,1.552241453445041941e+01
6.700000000000000178e+00,5.861202025679535804e-13,1.450270939744620358e-06,1.469598082594644136e-06,1.474260876838204126e+01,1.521707100272507063e+01
6.750000000000000000e+00,6.575036399327045116e-13,1.821565717288127468e-06,1.849862998590846236e-06,1.445496326916263286e+01,1.492165140728556594e+01
6.799999999999999822e+00,7.375625031385890776e-13,2.287169900916348585e-06,2.328484521693310329e-06,1.417418658129396647e+01,1.462982527161106816e+01
6.849999999999999645e+00,8.273463921166627556e-13,2.870628824344473946e-06,2.930886953691200239e-06,1.389770860500860294e+01,1.433792169417350237e+01
6.900000000000000355e+00,9.280306630374854563e-13,3.601370502971097316e-06,3.689059989305524348e-06,1.362610667989171986e+01,1.404615251757260808e+01
6.950000000000000178e+00,1.040931176209654670e-12,4.516108275948259632e-06,4.643251411540286854e-06,1.336558048831176393e+01,1.376018994855305522e+01
7.000000000000000000e+00,1.167520690048602689e-12,5.660654064261397002e-06,5.844095085142401847e-06,1.311989959620574808e+01,1.348852427494383477e+01
7.049999999999999822e+00,1.309447062667803725e-12,7.092223363394273282e-06,7.355285727887641519e-06,1.288665139279599003e+01,1.323102564459080099e+01
7.099999999999999645e+00,1.468553432358972330e-12,8.882229625422342120e-06,9.256940307201952178e-06,1.266286992239151488e+01,1.298531223477117180e+01
7.150000000000000355e+00,1.646900556611560624e-12,1.111975249680593690e-05,1.164982139939287427e-05,1.244674471749782185e+01,1.274989664272860779e+01
7.200000000000000178e+00,1.846791495590847139e-12,1.391600289506421215e-05,1.466064225640350855e-05,1.223746315283426611e+01,1.252372795343009670e+01
7.250000000000000000e+00,2.070798829119689989e-12,1.740985090512311460e-05,1.844872880366156540e-05,1.203435694768086250e+01,1.230557599119111956e+01
7.299999999999999822e+00,2.321794594854605167e-12,2.177451258285932823e-05,2.321438306948232208e-05,1.183686852210382767e+01,1.209457000051882147e+01
7.349999999999999645e+00,2.602983127790072197e-12,2.722616049338246591e-05,2.920937894533090907e-05,1.164425677572114637e+01,1.188988630097907873e+01
7.400000000000000355e+00,2.917936965261620678e-12,3.403468142859717642e-05,3.675012880353586975e-05,1.145567424412379864e+01,1.169039993510921249e+01
7.450000000000000178e+00,3.270635954448134634e-12,4.253661189700206903e-05,4.623419339020420546e-05,1.127043254357376867e+01,1.149516766023457137e+01
7.500000000000000000e+00,3.665509657461163066e-12,5.315139854389803808e-05,5.816097371029734062e-05,1.108804367052168516e+01,1.130357061128003693e+01
7.549999999999999822e+00,4.107483088016596858e-12,6.640200835447279952e-05,7.315762981838028753e-05,1.090813061396403327e+01,1.111528323285580200e+01
7.599999999999999645e+00,4.602025727879949146e-12,8.294132315039559340e-05,9.201152656488137600e-05,1.073012418926568756e+01,1.092961738187625542e+01
7.650000000000000355e+00,5.155203653904847619e-12,1.035831209771808021e-04,1.157108213223829090e-04,1.055350901431417299e+01,1.074592813502307820e+01
7.700000000000000178e+00,5.773734449109539687e-12,1.293408243799487774e-04,1.454951965169576432e-04,1.037789315415072622e+01,1.056375537990731317e+01
7.750000000000000000e+00,6.465044363553044319e-12,1.614757546833780002e-04,1.829192158028124704e-04,1.020299923030696476e+01,1.038278340976660274e+01
7.799999999999999822e+00,7.237326920294722493e-12,2.015571708461829259e-04,2.299313649292188198e-04,1.002873170780198109e+01,1.020282503928648055e+01
7.849999999999999645e+00,8.099601813463520593e-12,2.515360665119842462e-04,2.889725475228261471e-04,9.855169654657125022e+00,1.002379685074745197e+01
7.900000000000000355e+00,9.061772501633973624e-12,3.138361013042618086e-04,3.630986656573776468e-04,9.682413842468534426e+00,9.845700212688704767e+00
7.950000000000000178e+00,1.013468033946071611e-11,3.914662263619154135e-04,4.561329512326203306e-04,9.510577209215092864e+00,9.668632046224033161e+00
8.000000000000000000e+00,1.133015238983138665e-11,4.881610909206089634e-04,5.728549546543503911e-04,9.339646606992339173e+00,9.492545169080294443e+00
8.050000000000000711e+00,1.266103919052117124e-11,6.085502649371387620e-04,7.192345704014135128e-04,9.169601180628305315e+00,9.317393462216500666e+00
8.099999999999999645e+00,1.414123768365584119e-11,7.583652290981587321e-04,9.027212112702153986e-04,9.000453092336393013e+00,9.143193068955767444e+00
8.150000000000000355e+00,1.578569322168416796e-11,9.446881675010390320e-04,1.132600255390627149e-03,8.832251026803490390e+00,8.970025164754247271e+00
8.199999999999999289e+00,1.761037300856223046e-11,1.176238707642394141e-03,1.420431192356471674e-03,8.665040932774125793e+00,8.797949343964710067e+00
8.250000000000000000e+00,1.963220149103541916e-11,1.463749976698391735e-03,1.780584477314880532e-03,8.498896153290282030e+00,8.627057193993479700e+00
8.300000000000000711e+00,2.186894606149101714e-11,1.820441288662713424e-03,2.230896923257556352e-03,8.333880261308991066e+00,8.457396898402151919e+00
8.349999999999999645e+00,2.433903896469908295e-11,2.262616435196550084e-03,2.793468432011391410e-03,8.170065188521363098e+00,8.289020505980204234e+00
8.400000000000000355e+00,2.706131853436495035e-11,2.810293980108548740e-03,3.495625821214513092e-03,8.007541224640092992e+00,8.121976660986220509e+00
8.449999999999999289e+00,3.005466987912618121e-11,3.487972604279126511e-03,4.371082181781900389e-03,7.846420010525974931e+00,7.956301210159864468e+00
8.500000000000000000e+00,3.333754200695168492e-11,4.325505330193653124e-03,5.461322186544097235e-03,7.686832508087405813e+00,7.792043984741937379e+00
8.550000000000000711e+00,3.692731532122965497e-11,5.359112736753538463e-03,6.817244456319722541e-03,7.528950742096583326e+00,7.629314674384019668e+00
8.599999999999999645e+00,4.083949075760695620e-11,6.632903384426286700e-03,8.501090602007453645e-03,7.372983959583066849e+00,7.468250266542192151e+00
8.650000000000000355e+00,4.508667003242093029e-11,8.200075422832108982e-03,1.058868568858345460e-02,7.219177160530534820e+00,7.309027305396213592e+00
8.699999999999999289e+00,4.967729622277701250e-11,1.012450007421133828e-02,1.317200497496525194e-02,7.067798931728582090e+00,7.151847395898137449e+00
8.750000000000000000e+00,5.461412613714684583e-11,1.248245604285236864e-02,1.636206473492156366e-02,6.919148948507356067e+00,6.996926677383676463e+00
8.800000000000000711e+00,5.989241192022607730e-11,1.536439121657600174e-02,2.029210805630817654e-02,6.773575985949321421e+00,6.844539103797416146e+00
8.849999999999999645e+00,6.549778067987666836e-11,1.887702395131672303e-02,2.512101647120863410e-02,6.631466923846616623e+00,6.695007653615142829e+00
8.900000000000000355e+00,7.140381961003308201e-11,2.314514358073916853e-02,3.103682132273881400e-02,6.493233322331647628e+00,6.548660766229012609e+00
8.949999999999999289e+00,7.756940241832534719e-11,2.831303818940767575e-02,3.826011093116869766e-02,6.359307901442747379e+00,6.405823934709623302e+00
9.000000000000000000e+00,8.393583333487602044e-11,3.454522722646303362e-02,4.704702719046115200e-02,6.230150279294946358e+00,6.266881882289823125e+00
9.050000000000000711e+00,9.042393993331330256e-11,4.202779541552188053e-02,5.769141575120041027e-02,6.106255066178100321e+00,6.132254098142745136e+00
9.099999999999999645e+00,9.693131711878210127e-11,5.096748784305644986e-02,7.052553770447116122e-02,5.988115022777954266e+00,6.002295459265766908e+00
9.150000000000000355e+00,1.033300120802707834e-10,6.158798323250751217e-02,8.591857289485382854e-02,5.876126943934451674e+00,5.877040067785223698e+00
9.199999999999999289e+00,1.094650411274848543e-10,7.412234736462693097e-02,1.042719588576009743e-01,5.770829620027519979e+00,5.756832103944141465e+00
9.250000000000000000e+00,1.151542370256388066e-10,8.879595050389245403e-02,1.260104398795253988e-01,5.673392140032170516e+00,5.643359749415687077e+00
9.300000000000000711e+00,1.201900260818228219e-10,1.058361837487926810e-01,1.515675888296594276e-01,5.584808791022091157e+00,5.537887086193585162e+00
9.349999999999999645e+00,1.243438055558406853e-10,1.254523262523150051e-01,1.813645709948167040e-01,5.506006521975727708e+00,5.441430236789742025e+00
9.400000000000000355e+00,1.273736014147941382e-10,1.478139035811651680e-01,2.157811264025177311e-01,5.437929049856478514e+00,5.354900385052907552e+00
9.449999999999999289e+00,1.290355910800323824e-10,1.730270241250412289e-01,2.551182553430995648e-01,5.381610636176731077e+00,5.279256723203161528e+00
9.500000000000000000e+00,1.290998252825452206e-10,2.011055663706929897e-01,2.995530072809674538e-01,5.338224205295809099e+00,5.215568947932048616e+00
9.550000000000000711e+00,1.273700278296038298e-10,2.319399540603192811e-01,3.490871825694918940e-01,5.309026327622255792e+00,5.164943358561544073e+00
9.599999999999999645e+00,1.237066584488838040e-10,2.652716491540213495e-01,4.034936827016947225e-01,5.295368598308883179e+00,5.128575234537372296e+00
9.650000000000000355e+00,1.180514981984755717e-10,3.006673022870996470e-01,4.622665866026163251e-01,5.298703009621043236e+00,5.107773079228742574e+00
9.699999999999999289e+00,1.104509360161526931e-10,3.375036218153024126e-01,5.245834879030533138e-01,5.320442122657503603e+00,5.103734481216136487e+00
9.750000000000000000e+00,1.010740773557518483e-10,3.749735083364670318e-01,5.892906395563446420e-01,5.362152801817153147e+00,5.117691438052489161e+00
9.800000000000000711e+00,9.022105968902489080e-11,4.121092979437063764e-01,6.549221791559118877e-01,5.425609945579843441e+00,5.151165643466313782e+00
9.849999999999999645e+00,7.831694565291144971e-11,4.478394481590181053e-01,7.197631267468133087e-01,5.512861242367691261e+00,5.206237134398080002e+00
9.900000000000000355e+00,6.588769835418211118e-11,4.810763727149256486e-01,7.819610041419893243e-01,5.625445961611411860e+00,5.283989828558716795e+00
9.949999999999999289e+00,5.351731943620062576e-11,5.108056324837016993e-01,8.396823908714001750e-01,5.764484290338735661e+00,5.384886359248476140e+00
1.000000000000000000e+01,4.178919072757105424e-11,5.361928136983955540e-01,8.912991833714462020e-01,5.930422986359054960e+00,5.508573649777886772e+00
1.005000000000000071e+01,3.121937153557891762e-11,5.566853330248070497e-01,9.355770478501090892e-01,6.122749917323076829e+00,5.653836753696850792e+00
1.009999999999999964e+01,2.219376768098318248e-11,5.720882433591839566e-01,9.718295014924992481e-01,6.339438819495377686e+00,5.818169519496009912e+00
1.015000000000000036e+01,1.492295044546007151e-11,5.825890710603591760e-01,1.000000000000000000e+00,6.576530500470020968e+00,5.997658438948960224e+00
