# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,3.161312893536594713e-13,4.989140106224774850e-08,4.999001498378681773e-08,1.845288207198343855e+01,1.879589138493474820e+01,1.929507650830674947e+01
5.549999999999999822e+00,3.546914543822179563e-13,6.280789210356200119e-08,6.293208131149123121e-08,1.820287900725860908e+01,1.854588931137914187e+01,1.904507459606569597e+01
5.599999999999999645e+00,3.979531281313890655e-13,7.906769740878472081e-08,7.922450982795001164e-08,1.795273621475526227e+01,1.829575064549496943e+01,1.879493612075200559e+01
5.650000000000000355e+00,4.464890643427933250e-13,9.953510942760301973e-08,9.973451892911926546e-08,1.770242915355497360e+01,1.804544557139583816e+01,1.854462823369664193e+01
5.700000000000000178e+00,5.009416659475953259e-13,1.252977118588875425e-07,1.255537583462477817e-07,1.745190799275722782e+01,1.779492261373986395e+01,1.829409717862824891e+01
5.750000000000000000e+00,5.620314221499492943e-13,1.577244383880371394e-07,1.580563731720628309e-07,1.720105068916323177e+01,1.754406512103297189e+01,1.804322590771874957e+01
5.799999999999999822e+00,6.305663591119227658e-13,1.985373407326869823e-07,1.989720831330643231e-07,1.694980620080185219e+01,1.729282219081105154e+01,1.779196140996148756e+01
5.849999999999999645e+00,7.074526238150951556e-13,2.499039953011336799e-07,2.504781561960008148e-07,1.669802331394154038e+01,1.704105120507068705e+01,1.754016143308685116e+01
5.900000000000000355e+00,7.937063342055088164e-13,3.145516105842030554e-07,3.153151580957468099e-07,1.644558019611940125e+01,1.678863649866431018e+01,1.728771032363904681e+01
5.950000000000000178e+00,8.904668436384977668e-13,3.959100649963170217e-07,3.969326183223548677e-07,1.619244296889603874e+01,1.653554325849749773e+01,1.703457222664910375e+01
6.000000000000000000e+00,9.990115840263098555e-13,4.982946658146901376e-07,4.996723355472887132e-07,1.593848458560119496e+01,1.628164976062490865e+01,1.678062662347414147e+01
6.049999999999999822e+00,1.120772670046479802e-12,6.271314594346249699e-07,6.289990369072477036e-07,1.568362722285498734e+01,1.602687774085330119e+01,1.652579758068232962e+01
6.099999999999999645e+00,1.257355466373879277e-12,7.892470296576034774e-07,7.917906077174319330e-07,1.542763635080539331e+01,1.577100236943868339e+01,1.626986964766798849e+01
6.150000000000000355e+00,1.410559341216945191e-12,9.932269076428619658e-07,9.967032525370640616e-07,1.517022505431854995e+01,1.551374740793116302e+01,1.601257738859007418e+01
6.200000000000000178e+00,1.582400852504236685e-12,1.249864222121985991e-06,1.254630900547402336e-06,1.491106444544600862e+01,1.525479031582325717e+01,1.575360065420795053e+01
6.250000000000000000e+00,1.775139637876991643e-12,1.572721897872006142e-06,1.579283130753777230e-06,1.464972938706024763e+01,1.499370300691079194e+01,1.549249086893891558e+01
6.299999999999999822e+00,1.991307306136656247e-12,1.978834109166440248e-06,1.987912128290954978e-06,1.438541741772949223e+01,1.472966326825066119e+01,1.522837089847946856e+01
6.349999999999999645e+00,2.233739655838115486e-12,2.489582867789776544e-06,2.502227007178561086e-06,1.411651355229287930e+01,1.446100064203977809e+01,1.495947510462497121e+01
6.400000000000000355e+00,2.505612576071134003e-12,3.131781668678819634e-06,3.149543662743764246e-06,1.384165433788066935e+01,1.418625991651502716e+01,1.468418839433122969e+01
6.450000000000000178e+00,2.810482014760770550e-12,3.939026963904478275e-06,3.964230634612035560e-06,1.356049173050895718e+01,1.390497220421162439e+01,1.440186185560111198e+01
6.500000000000000000e+00,3.152328430490127839e-12,4.953411808733729939e-06,4.989526923524562191e-06,1.327138587991997554e+01,1.361508157152137244e+01,1.411028709691218097e+01
6.549999999999999822e+00,3.535606174120617273e-12,6.227632130499497630e-06,6.279827074031136248e-06,1.297730980992996308e+01,1.331812634877307744e+01,1.381062998473934300e+01
6.599999999999999645e+00,3.965298275271540101e-12,7.827513281222417532e-06,7.903553107306997202e-06,1.268413528284485636e+01,1.301736082233895786e+01,1.350500436345493682e+01
