# log_age,stellar_mass,formed_mass,SDSS_g,SDSS_r
7.900000000000000355e+00,4.320267982237475241e-02,5.158170945295150606e-02,4.695639295182523654e+00,4.826146403669639540e+00
7.950000000000000178e+00,4.797194598400989635e-02,5.769069479687548296e-02,4.654602612389304284e+00,4.780292304086842137e+00
8.000000000000000000e+00,5.324649192224963773e-02,6.449826102449354726e-02,4.614251663434806972e+00,4.734984567099957076e+00
8.050000000000000711e+00,5.907414447340524066e-02,7.207795059698149376e-02,4.574755965672252955e+00,4.690505445519541183e+00
8.099999999999999645e+00,6.550581512283749908e-02,8.050942255950783999e-02,4.536389778718152854e+00,4.647360132255613507e+00
8.150000000000000355e+00,7.258995914840958574e-02,8.987852733863889443e-02,4.499273790385778682e+00,4.605697235553890323e+00
8.199999999999999289e+00,8.037576106904693873e-02,1.002772434105713845e-01,4.463534530496495734e+00,4.565616961371461002e+00
8.250000000000000000e+00,8.892121150920943851e-02,1.118034309910869717e-01,4.429319617824504007e+00,4.527192721713859669e+00
8.300000000000000711e+00,9.829914706764286692e-02,1.245603488871407788e-01,4.396635186987928989e+00,4.490268347056741050e+00
8.349999999999999645e+00,1.085849286930099106e-01,1.386558708984029220e-01,4.365656167758437789e+00,4.454959312574167996e+00
8.400000000000000355e+00,1.198432202861509782e-01,1.542013280583995893e-01,4.336605487892697397e+00,4.421216286032262133e+00
8.449999999999999289e+00,1.321357282578792258e-01,1.713098932190223467e-01,4.309702522621911669e+00,4.389008414287040694e+00
8.500000000000000000e+00,1.455044844106477830e-01,1.900944160298703167e-01,4.285272710930435380e+00,4.358660990269328295e+00
8.550000000000000711e+00,1.600152821077938936e-01,2.106646107374620103e-01,4.263761762985325277e+00,4.330566727539199690e+00
8.599999999999999645e+00,1.757329851499992712e-01,2.331234985131323545e-01,4.245622931623806551e+00,4.305029423200139149e+00
8.650000000000000355e+00,1.926792346001802714e-01,2.575630130037876442e-01,4.231296426397115340e+00,4.282452501187464122e+00
8.699999999999999289e+00,2.108732517802543172e-01,2.840586960700227648e-01,4.221199906476634567e+00,4.263075025286894970e+00
8.750000000000000000e+00,2.303056616126558653e-01,3.126634446176217441e-01,4.215920995745861433e+00,4.247307133081811514e+00
8.800000000000000711e+00,2.509512973986114392e-01,3.434003241025653796e-01,4.216134467829888877e+00,4.235811597364104841e+00
8.849999999999999645e+00,2.727660477618598645e-01,3.762545450763247756e-01,4.222427387029490831e+00,4.229040476641067414e+00
8.900000000000000355e+00,2.956610825097770179e-01,4.111648110305365367e-01,4.235335546835486298e+00,4.227132804091205287e+00
8.949999999999999289e+00,3.194811172373407948e-01,4.480143922158367764e-01,4.255403444914072963e+00,4.230505879163459326e+00
9.000000000000000000e+00,3.440495531357727899e-01,4.866224610846907050e-01,4.283253166422426261e+00,4.239795709975339832e+00
9.050000000000000711e+00,3.691828672939684863e-01,5.267364346956653343e-01,4.319491754972375475e+00,4.255365114662211568e+00
9.099999999999999645e+00,3.945890782643327044e-01,5.680262929507824410e-01,4.363850380136661045e+00,4.275387551723021318e+00
9.150000000000000355e+00,4.199229392042098108e-01,6.100820515841799407e-01,4.415575108935421156e+00,4.297420892289501637e+00
9.199999999999999289e+00,4.444902436540734136e-01,6.524157225728995924e-01,4.479512077843637030e+00,4.330696533217178512e+00
9.250000000000000000e+00,4.678951624413400512e-01,6.944691326116710917e-01,4.559205460671812205e+00,4.381342495731082920e+00
9.300000000000000711e+00,4.900907365584520892e-01,7.356288189497458552e-01,4.652781439048482071e+00,4.445110901992627817e+00
9.349999999999999645e+00,5.106909837143746023e-01,7.752488027409677462e-01,4.760493390524821677e+00,4.521429289168025889e+00
9.400000000000000355e+00,5.293559638622956642e-01,8.126812878150966313e-01,4.882509563468701685e+00,4.609662459267269696e+00
9.449999999999999289e+00,5.457722610050670387e-01,8.473142239015978294e-01,5.019686806278869540e+00,4.710347944729846859e+00
9.500000000000000000e+00,5.596589457918196286e-01,8.786132630497275331e-01,5.172400231531497639e+00,4.823372447572758404e+00
9.550000000000000711e+00,5.708614426119356100e-01,9.061640978600328244e-01,5.339932115526437428e+00,4.947832644994264228e+00
9.599999999999999645e+00,5.793614034951751757e-01,9.297098104061469748e-01,5.521558843776489311e+00,5.083562970225230515e+00
9.650000000000000355e+00,5.852146719449008438e-01,9.491771140244374960e-01,5.713994361793766075e+00,5.228222999035665453e+00
9.699999999999999289e+00,5.886244111572427329e-01,9.646857120101819394e-01,5.913369792410733794e+00,5.378104346415000236e+00
9.750000000000000000e+00,5.899002511338232724e-01,9.765367911387456967e-01,6.117952273878849212e+00,5.531828601636298970e+00
9.800000000000000711e+00,5.894106611439668963e-01,9.851799556206508601e-01,6.329077221785965435e+00,5.695582405813865989e+00
9.849999999999999645e+00,5.876323919485834102e-01,9.911622161525477370e-01,6.541135517643041908e+00,5.864994591117884681e+00
9.900000000000000355e+00,5.849902341409777273e-01,9.950669365904862840e-01,6.742946269228319522e+00,6.027205982689196162e+00
9.949999999999999289e+00,5.817886760268271562e-01,9.974534991183175991e-01,6.930505253002536392e+00,6.178838130483612190e+00
1.000000000000000000e+01,5.782725161041381012e-01,9.988086056911161803e-01,7.102121296952958573e+00,6.318680939081083636e+00
1.005000000000000071e+01,5.746259519816684369e-01,9.995171091195736990e-01,7.258931815057934500e+00,6.448229774697743721e+00
1.009999999999999964e+01,5.709738560991208800e-01,9.998548405493221658e-01,7.404345726175854736e+00,6.569859073981675124e+00
1.015000000000000036e+01,5.673930066096389835e-01,1.000000000000000000e+00,7.541007475807020910e+00,6.685056643498541007e+00
