# log_age,stellar_mass,formed_mass,SDSS_g,SDSS_r
5.500000000000000000e+00,2.103975709794991399e-04,2.108134368224065503e-04,9.733353831061869244e+00,1.023253895443387762e+01
5.549999999999999822e+00,2.360646194553437586e-04,2.365335243589200337e-04,9.607958004137117314e+00,1.010714533040899710e+01
5.599999999999999645e+00,2.648524903675295050e-04,2.653911495955605152e-04,9.482088251930484546e+00,9.981270463961394057e+00
5.650000000000000355e+00,2.971352534997569596e-04,2.977689461252929241e-04,9.355980733575840702e+00,9.855140253828778896e+00
5.700000000000000178e+00,3.333424208226432061e-04,3.340961831155771526e-04,9.229196396695840576e+00,9.728324731858450036e+00
5.750000000000000000e+00,3.739489838021429731e-04,3.748544420468751101e-04,9.101751501771872199e+00,9.600836610260877535e+00
5.799999999999999822e+00,4.194888387712802751e-04,4.205839825818960369e-04,8.973534359699272045e+00,9.472563925056071810e+00
5.849999999999999645e+00,4.705676483489966378e-04,4.718908807384845135e-04,8.844102795121145277e+00,9.343073049997428825e+00
5.900000000000000355e+00,5.278473108138299853e-04,5.294550324506029334e-04,8.713813524436055502e+00,9.212712756320300400e+00
5.950000000000000178e+00,5.920774433272536948e-04,5.940391266604674696e-04,8.582480241180206804e+00,9.081300916490086195e+00
6.000000000000000000e+00,6.640938339776882721e-04,6.664987044215917641e-04,8.449962894569388538e+00,8.948702814426667373e+00
6.049999999999999822e+00,7.448339067276845554e-04,7.477934342302832013e-04,8.315971109086881086e+00,8.814649876595481715e+00
6.099999999999999645e+00,8.353612467450075236e-04,8.389997491023710573e-04,8.179755442800441756e+00,8.678426714896325223e+00
6.150000000000000355e+00,9.368467790170873508e-04,9.413250079200564469e-04,8.040940855072257420e+00,8.539655806829230755e+00
6.200000000000000178e+00,1.050590657683909621e-03,1.056123362468418736e-03,7.898960480079516344e+00,8.397709664542936991e+00
6.250000000000000000e+00,1.178030539763188405e-03,1.184913532537392334e-03,7.752707428270632306e+00,8.251331533158726472e+00
6.299999999999999822e+00,1.320755985481577698e-03,1.329398714675679178e-03,7.598408022043685150e+00,8.096568403207221820e+00
6.349999999999999645e+00,1.480512380089987930e-03,1.491488875844076099e-03,7.432008513672556660e+00,7.929042722948409505e+00
6.400000000000000355e+00,1.659190250575070516e-03,1.673325711526345251e-03,7.258033790265407958e+00,7.753007024452813312e+00
6.450000000000000178e+00,1.858907396478437458e-03,1.877310579020594148e-03,7.071672739458321644e+00,7.563421464539672456e+00
6.500000000000000000e+00,2.082004872748649971e-03,2.106135750844434235e-03,6.874724950338773510e+00,7.362622988165483662e+00
6.549999999999999822e+00,2.331114635644127627e-03,2.362819370617739567e-03,6.683642031569327457e+00,7.162516048890644527e+00
6.599999999999999645e+00,2.608399878746419341e-03,2.650744534597950126e-03,6.495870318920815123e+00,6.963507679037419962e+00
6.650000000000000355e+00,2.917276017825028676e-03,2.973702966331368599e-03,6.319904472531987949e+00,6.777522721334179323e+00
6.700000000000000178e+00,3.262729557380153553e-03,3.335943799706548012e-03,6.179653877137724294e+00,6.628012302897886343e+00
6.750000000000000000e+00,3.647875261758277022e-03,3.742228036991000761e-03,6.052799851264410336e+00,6.485385865496439806e+00
6.799999999999999822e+00,4.075534804559004069e-03,4.197889303053778907e-03,5.916746271164342375e+00,6.322048078663520698e+00
6.849999999999999645e+00,4.550452718873388737e-03,4.708901574558760524e-03,5.779656342479754016e+00,6.152584819447312725e+00
6.900000000000000355e+00,5.078085826662558262e-03,5.281954622916035756e-03,5.663536123331326166e+00,5.992892166803443388e+00
6.950000000000000178e+00,5.664119565467428535e-03,5.924537971326448646e-03,5.586468166503173904e+00,5.873387037499668395e+00
7.000000000000000000e+00,6.315211831822293599e-03,6.645034228102139791e-03,5.528587058611535099e+00,5.787994731992085917e+00
7.049999999999999822e+00,7.038819999116802291e-03,7.452822718850411060e-03,5.470464992299064022e+00,5.709844675117373924e+00
7.099999999999999645e+00,7.842917482707236626e-03,8.358394396663722595e-03,5.412206069243026718e+00,5.637258552530859390e+00
7.150000000000000355e+00,8.736461957907070558e-03,9.373479058963064131e-03,5.357069007680024697e+00,5.571955450061203408e+00
7.200000000000000178e+00,9.729808022271102877e-03,1.051118593783579441e-02,5.306484195413361249e+00,5.512136111475214761e+00
7.250000000000000000e+00,1.083411361612414241e-02,1.178615875203335196e-02,5.259914937499317489e+00,5.456426105869383036e+00
7.299999999999999822e+00,1.206157046211974761e-02,1.321474630605745659e-02,5.216465714908530060e+00,5.405283987520540734e+00
7.349999999999999645e+00,1.342628871974412344e-02,1.481518968573403150e-02,5.173899299613005098e+00,5.356213644394316020e+00
7.400000000000000355e+00,1.494359954864161316e-02,1.660782701862351801e-02,5.131324488954277285e+00,5.307166494156987824e+00
7.450000000000000178e+00,1.662986177108597904e-02,1.861531662672902959e-02,5.089025875788266262e+00,5.258474319676338382e+00
7.500000000000000000e+00,1.850322335142188038e-02,2.086287917969935693e-02,5.047574690130957720e+00,5.211644754049132189e+00
7.549999999999999822e+00,2.058502774418177056e-02,2.337855913601158409e-02,5.005984853014396663e+00,5.165687767303204225e+00
7.599999999999999645e+00,2.289887096413820503e-02,2.619350530904284921e-02,4.962886323521182419e+00,5.118263352671363009e+00
7.650000000000000355e+00,2.546929415909515368e-02,2.934226977968968156e-02,4.918491246901673719e+00,5.069719105069566467e+00
7.700000000000000178e+00,2.832309076319195970e-02,3.286312355514645067e-02,4.873029483308712884e+00,5.020492615337815323e+00
7.750000000000000000e+00,3.148970810250730640e-02,3.679838629402054639e-02,4.827080403119190066e+00,4.971019244389488279e+00
7.799999999999999822e+00,3.500141692941070859e-02,4.119476602122734699e-02,4.781840789629612232e+00,4.921816573606527356e+00
7.849999999999999645e+00,3.889313958571923718e-02,4.610370297205072798e-02,4.737947521887811320e+00,4.873269193963913892e+00
