# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,1.635930501129084119e-14,2.581585037786581113e-09,2.586687725202496695e-09,2.166823023380744928e+01,2.201123954675875893e+01,2.251042467013076731e+01
5.549999999999999822e+00,1.835530047153473738e-14,3.250004063281619503e-09,3.256430251303108667e-09,2.141820481627149775e+01,2.176121511966900357e+01,2.226040040423788469e+01
5.599999999999999645e+00,2.059480753712869098e-14,4.091464546690450427e-09,4.099579014064753905e-09,2.116803699976409803e+01,2.151105142919504232e+01,2.201023690418803369e+01
5.650000000000000355e+00,2.310752962214486732e-14,5.150711869584745972e-09,5.161030814677312215e-09,2.091770192146624652e+01,2.126071833677416834e+01,2.175990099963249946e+01
5.700000000000000178e+00,2.592679204691974568e-14,6.484055502872128102e-09,6.497305630884617084e-09,2.066714921329136700e+01,2.101016383405196564e+01,2.150933840095599692e+01
5.750000000000000000e+00,2.908998334101651868e-14,8.162378898182471355e-09,8.179556602473665819e-09,2.041625670297491979e+01,2.075927113484323883e+01,2.125843192704125784e+01
5.799999999999999822e+00,3.263905022854377784e-14,1.027485870824230124e-08,1.029735730614934594e-08,2.016497285967167841e+01,2.050798885037406905e+01,2.100712808183803304e+01
5.849999999999999645e+00,3.662105280342898196e-14,1.293375714202332999e-08,1.296347182114418057e-08,1.991314581655360882e+01,2.025617370387352878e+01,2.075528395080271338e+01
5.900000000000000355e+00,4.108878718525826808e-14,1.628033863879629565e-08,1.631985610373438828e-08,1.966065331966342455e+01,2.000370960824376709e+01,2.050278346025551457e+01
5.950000000000000178e+00,4.610148382199552932e-14,2.049229167162733885e-08,2.054521603744672676e-08,1.940746089012075259e+01,1.975056115064653284e+01,2.024959015817130137e+01
6.000000000000000000e+00,5.172559058485765985e-14,2.579321245966591033e-08,2.586451955031837375e-08,1.915344088985072801e+01,1.949660601101638946e+01,1.999558292946287708e+01
6.049999999999999822e+00,5.803565089451343622e-14,3.246430228177150105e-08,3.256097116812540271e-08,1.889851459845741033e+01,1.924176502927034704e+01,1.974068494185333122e+01
6.099999999999999645e+00,6.511528833945772180e-14,4.085941890312138753e-08,4.099108590274032248e-08,1.864244662987788814e+01,1.898581251591195240e+01,1.948467988045804589e+01
6.150000000000000355e+00,7.305831061100334863e-14,5.142370055924251988e-08,5.160366263292385140e-08,1.838494952915169733e+01,1.872847167924879841e+01,1.922730175100051042e+01
6.200000000000000178e+00,8.196994710030220633e-14,6.471689284749397313e-08,6.496366936988309082e-08,1.812569337594752028e+01,1.846941894342538149e+01,1.896822936719089370e+01
6.250000000000000000e+00,9.196823619803776253e-14,8.144259699616361972e-08,8.178230556645392402e-08,1.786425230939555320e+01,1.820822549529745515e+01,1.870701344227941121e+01
6.299999999999999822e+00,1.031855802252471405e-13,1.024847889422220130e-07,1.029548441418983220e-07,1.759982306310142519e+01,1.794406833707862603e+01,1.844277610592461514e+01
6.349999999999999645e+00,1.157704880239769372e-13,1.289534952565957925e-07,1.296082625118222813e-07,1.733079095484789889e+01,1.767527736243112457e+01,1.817375216523151238e+01
6.400000000000000355e+00,1.298895275704282543e-13,1.622413098379763512e-07,1.631611925965937029e-07,1.705579236823112410e+01,1.740039729357347653e+01,1.789832663441596594e+01
6.450000000000000178e+00,1.457295135636179499e-13,2.040939560765075365e-07,2.053993779650260822e-07,1.677447789711894188e+01,1.711895802857712567e+01,1.761584960265397370e+01
6.500000000000000000e+00,1.634999578133632899e-13,2.566998452944651635e-07,2.585706405596574959e-07,1.648520812529964275e+01,1.682890462489791616e+01,1.732411385607473164e+01
6.549999999999999822e+00,1.834358134275922861e-13,3.228003146427927957e-07,3.255044042933854626e-07,1.619094944519063972e+01,1.653177094297922878e+01,1.702428138445704064e+01
6.599999999999999645e+00,2.058005473063617690e-13,4.058221225709433903e-07,4.097621135013563395e-07,1.589756229588805780e+01,1.623080404333917670e+01,1.671846056456992358e+01
6.650000000000000355e+00,2.308895793144069079e-13,5.100274889285761357e-07,5.158265294938699608e-07,1.560689994827590255e+01,1.592783585245867783e+01,1.640933144573400426e+01
6.700000000000000178e+00,2.590341307509423775e-13,6.408014041213640238e-07,6.493399395134782615e-07,1.532394427144786420e+01,1.562947661912156860e+01,1.610394377159527579e+01
6.750000000000000000e+00,2.906055293886039150e-13,8.049019899270658378e-07,8.174039037539846547e-07,1.505160625257433082e+01,1.534177571512300631e+01,1.580847051200668574e+01
6.799999999999999822e+00,3.260200234337233850e-13,1.010702577767711325e-06,1.028956414009522436e-06,1.478856389238075053e+01,1.506093462803682570e+01,1.551658310249371908e+01
6.849999999999999645e+00,3.657441622837649655e-13,1.268621585917389905e-06,1.295246426643941724e-06,1.453406551269090130e+01,1.478438346289798488e+01,1.522461143182819399e+01
6.900000000000000355e+00,4.103008079336427720e-13,1.591683449645451110e-06,1.630430866293765042e-06,1.428898747834647054e+01,1.451269807756219166e+01,1.493276625655397538e+01
6.950000000000000178e+00,4.602758473094508273e-13,1.996141286985098351e-06,2.052325647206298891e-06,1.405471722304549331e+01,1.425207288495388980e+01,1.464671520470614041e+01
7.000000000000000000e+00,5.163256826700701049e-13,2.502282186869697139e-06,2.583350359830328756e-06,1.383102868292018428e+01,1.400627305717944893e+01,1.437494166504500015e+01
7.049999999999999822e+00,5.791855844785178918e-13,3.135451497045459847e-06,3.251716440295457434e-06,1.361625191511375021e+01,1.377288546257580037e+01,1.411731413886106168e+01
7.099999999999999645e+00,6.496789987436773816e-13,3.927295701884075436e-06,4.092921406043432630e-06,1.340888577145043570e+01,1.354894381036385909e+01,1.387145017493735111e+01
7.150000000000000355e+00,7.287279086715723225e-13,4.917306491943022381e-06,5.151627756906267060e-06,1.320788633934819245e+01,1.333263619644020537e+01,1.363586064710296597e+01
7.200000000000000178e+00,8.173643583997567387e-13,6.154809931612948248e-06,6.484025218503844722e-06,1.301248435608533072e+01,1.312314735664440946e+01,1.340949218567658363e+01
7.250000000000000000e+00,9.167432544142988641e-13,7.701432009476545009e-06,8.160800188670747722e-06,1.282206382426333846e+01,1.291980598092573018e+01,1.319111215949678240e+01
7.299999999999999822e+00,1.028156567683645416e-12,9.634085574860411181e-06,1.027086777282112113e-05,1.263610546854692984e+01,1.272205098907654985e+01,1.297984655820092570e+01
7.349999999999999645e+00,1.153049066204699306e-12,1.204882045609146371e-05,1.292606128896077165e-05,1.245403492832781467e+01,1.252913785346302689e+01,1.277486816998671770e+01
7.400000000000000355e+00,1.293035713032725176e-12,1.506564074427566836e-05,1.626702351745688781e-05,1.227532955035327689e+01,1.234021564843045837e+01,1.257504883707439802e+01
7.450000000000000178e+00,1.449920868285007206e-12,1.883431039457042464e-05,2.047060573088406308e-05,1.209957954834568739e+01,1.215459196202234438e+01,1.237944158551305662e+01
7.500000000000000000e+00,1.625719434190125780e-12,2.354166410094198032e-05,2.575915768146548517e-05,1.192647856902698322e+01,1.197177394951237517e+01,1.218742279160480280e+01
7.549999999999999822e+00,1.822680078864109716e-12,2.942089085685866917e-05,3.241218797551331592e-05,1.175574090600859734e+01,1.179137905747327153e+01,1.199866095430233770e+01
7.599999999999999645e+00,2.043310665673911077e-12,3.676344467843876550e-05,4.078099423866561222e-05,1.158701858259995277e+01,1.161283278827539078e+01,1.181246273830333848e+01
7.650000000000000355e+00,2.290405998939465441e-12,4.593308224396982218e-05,5.130701181024391295e-05,1.142000116736148385e+01,1.143561386459916207e+01,1.162817753266096332e+01
7.700000000000000178e+00,2.567077970975770405e-12,5.738347149751049810e-05,6.454481532469891994e-05,1.125443944843235755e+01,1.125932349541883326e+01,1.144533840264474378e+01
7.750000000000000000e+00,2.876788157126311273e-12,7.168019491664475980e-05,8.119093786954598190e-05,1.109014177499786058e+01,1.108367631521109331e+01,1.126362159851142053e+01
7.799999999999999822e+00,3.223382850787558311e-12,8.952823156645023340e-05,1.021199576725316923e-04,1.092699941615818204e+01,1.090856701592883837e+01,1.108283047661164744e+01
7.849999999999999645e+00,3.611130454873071682e-12,1.118058969513944557e-04,1.284296548043330970e-04,1.076498097502617668e+01,1.073406273432203051e+01,1.090287058763054517e+01
7.900000000000000355e+00,4.044761044038304170e-12,1.396068811444463255e-04,1.614974749632541132e-04,1.060408226908477758e+01,1.056025078919466864e+01,1.072373049456243166e+01
7.950000000000000178e+00,4.529507776326625320e-12,1.742926061234666211e-04,2.030510715716422941e-04,1.044431365086997232e+01,1.038722899222973695e+01,1.054549213841741562e+01
8.000000000000000000e+00,5.071149655243404658e-12,2.175578799660385170e-04,2.552563518174197441e-04,1.028565567363990851e+01,1.021496845217057370e+01,1.036809295697297983e+01
8.050000000000000711e+00,5.676054913419342024e-12,2.715107022303160319e-04,3.208272508798184759e-04,1.012810471618658426e+01,1.004343084076184311e+01,1.019146971337202956e+01
8.099999999999999645e+00,6.351223994820183654e-12,3.387707212402178421e-04,4.031624287795963963e-04,9.971678516539334680e+00,9.872608475467487210e+00,1.001561881036955981e+01
8.150000000000000355e+00,7.104330739553484254e-12,4.225888785713907692e-04,5.065152567355689188e-04,9.816411795853738909e+00,9.702527456779122872e+00,9.840598612330083483e+00
8.199999999999999289e+00,7.943759907053635264e-12,5.269875484570049921e-04,6.362048679181640104e-04,9.662340787615654847e+00,9.533208588802011718e+00,9.666443570020582854e+00
8.250000000000000000e+00,8.878638590799651548e-12,6.569452673266824166e-04,7.988777257748254671e-04,9.509514374980717832e+00,9.364696728963217254e+00,9.493216703770720244e+00
8.300000000000000711e+00,9.918858359585611137e-12,8.186312602128981066e-04,1.002831145595085936e-03,9.357988874845432292e+00,9.197023893523301297e+00,9.320935148849443408e+00
