# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,7.666110216421149687e-15,1.209739993244758392e-09,1.212131130840346742e-09,2.249121622619212957e+01,2.283422553914343212e+01,2.333341066251544049e+01
5.549999999999999822e+00,8.601483946111447797e-15,1.522967611653194971e-09,1.525978959285346822e-09,2.224118776552933952e+01,2.258419807335563689e+01,2.308338335864530677e+01
5.599999999999999645e+00,9.650981939078511199e-15,1.917285558060413432e-09,1.921088055640212308e-09,2.199101689192134756e+01,2.233403132226223420e+01,2.283321679683616878e+01
5.650000000000000355e+00,1.082852723654286103e-14,2.413663193660904585e-09,2.418498760480771569e-09,2.174067828167515160e+01,2.208369469279822539e+01,2.258287735198442192e+01
5.700000000000000178e+00,1.214974117161837958e-14,3.038489442653572561e-09,3.044698578701371441e-09,2.149012179431954195e+01,2.183313641000167848e+01,2.233231097358421380e+01
5.750000000000000000e+00,1.363215044311562702e-14,3.824983016315252380e-09,3.833032643792746484e-09,2.123922507417302796e+01,2.158223950071216279e+01,2.208140029411462280e+01
5.799999999999999822e+00,1.529541941755696371e-14,4.814936973774736018e-09,4.825480215161984292e-09,2.098793563926233219e+01,2.133095163169604547e+01,2.183009085701058893e+01
5.849999999999999645e+00,1.716161072771528042e-14,6.060963494432357731e-09,6.074888222890633346e-09,2.073610367388489095e+01,2.107913155324054344e+01,2.157824180140117676e+01
5.900000000000000355e+00,1.925547760779088328e-14,7.629268678404755692e-09,7.647787375145432937e-09,2.048360446573825300e+01,2.082666075448950949e+01,2.132573460423166267e+01
5.950000000000000178e+00,2.160479182184180349e-14,9.603130082518614885e-09,9.627931551628507635e-09,2.023040524009365981e+01,2.057350550045467941e+01,2.107253450854179277e+01
6.000000000000000000e+00,2.424071150856168168e-14,1.208734364733612820e-08,1.212075977950110057e-08,1.997637755096159395e+01,2.031954266971796130e+01,2.081851959176437816e+01
6.049999999999999822e+00,2.719819378783489434e-14,1.521370695534594075e-08,1.525900844438359392e-08,1.972144262025260275e+01,2.006469304560793887e+01,2.056361296538531036e+01
6.099999999999999645e+00,3.051645755923602226e-14,1.914807522864329720e-08,1.920977807067867243e-08,1.946536509368186074e+01,1.980873096711879811e+01,2.030759834152400600e+01
6.150000000000000355e+00,3.423950257704402997e-14,2.409909444651784169e-08,2.418343021064265503e-08,1.920785742048840916e+01,1.955137954525361721e+01,2.005020962753820157e+01
6.200000000000000178e+00,3.841669161847969580e-14,3.032913702911862414e-08,3.044478483823919970e-08,1.894858957759663554e+01,1.929231510256033744e+01,1.979112553776926120e+01
6.250000000000000000e+00,4.310340338068730299e-14,3.816801832944495529e-08,3.832721922895148695e-08,1.868713486104506671e+01,1.903110799549101984e+01,1.952989594990359024e+01
6.299999999999999822e+00,4.836176465734967616e-14,4.803012395020110705e-08,4.825041216336268271e-08,1.842269126877993557e+01,1.876693646638566548e+01,1.926564425013934567e+01
6.349999999999999645e+00,5.426147136867503464e-14,6.043582870062292919e-08,6.074268439585749473e-08,1.815364335375533500e+01,1.849812967380357520e+01,1.899660452493709784e+01
6.400000000000000355e+00,6.088070916084129821e-14,7.603800958481092455e-08,7.646911610109209048e-08,1.787862760103583071e+01,1.822323244373627205e+01,1.872116190893175514e+01
6.450000000000000178e+00,6.830718556604183828e-14,9.565514696373077293e-08,9.626694660224832708e-08,1.759729392392169700e+01,1.794177401377834968e+01,1.843866584095098915e+01
6.500000000000000000e+00,7.663928713652160411e-14,1.203133459598939010e-07,1.211901270555807661e-07,1.730800355337739660e+01,1.765170016714088774e+01,1.814690987759510676e+01
6.549999999999999822e+00,8.598737655119929144e-14,1.512980649271896370e-07,1.525654059612771282e-07,1.701372149022479618e+01,1.735454361911677523e+01,1.784705490820138607e+01
6.599999999999999645e+00,9.647524645881893973e-14,1.902163142952256194e-07,1.920629232673628819e-07,1.672030801843121139e+01,1.705355183666389962e+01,1.754120999393750679e+01
6.650000000000000355e+00,1.082417487855923221e-13,2.390670948589752411e-07,2.417850649728209246e-07,1.642961442010664541e+01,1.675055458344856163e+01,1.723205273298001572e+01
6.700000000000000178e+00,1.214426204179236072e-13,3.003762630779980135e-07,3.043783029718141464e-07,1.614662212262255991e+01,1.645216163108250385e+01,1.692663247414801475e+01
6.750000000000000000e+00,1.362525285933040027e-13,3.773141036332548969e-07,3.831739588971727651e-07,1.587423951478674411e+01,1.616441887694901425e+01,1.663111866300286579e+01
6.799999999999999822e+00,1.528673620172619344e-13,4.738092201582429683e-07,4.823653692288413895e-07,1.561114536751043858e+01,1.588352960014054815e+01,1.633918542090668780e+01
6.849999999999999645e+00,1.715067966948241057e-13,5.947504975995893231e-07,6.072308556796008940e-07,1.535658680399442488e+01,1.560692347624242160e+01,1.604716259900960296e+01
6.900000000000000355e+00,1.924171687453620112e-13,7.462507922972520942e-07,7.644143352343626371e-07,1.511143897068735953e+01,1.533517553979051229e+01,1.575526049226806435e+01
6.950000000000000178e+00,2.158746900842731591e-13,9.359397924729779452e-07,9.622784562595576516e-07,1.487708713070597355e+01,1.507447610592916476e+01,1.546914307154125368e+01
7.000000000000000000e+00,2.421890468274755416e-13,1.173342981247527178e-06,1.211348983407477132e-06,1.465330372728930541e+01,1.482858713067896872e+01,1.519728869271018112e+01
7.049999999999999822e+00,2.717074246275137527e-13,1.470363782124477474e-06,1.524873981841180542e-06,1.443841778854113755e+01,1.459509490679829469e+01,1.493956439242213463e+01
7.099999999999999645e+00,3.048190099028781936e-13,1.841869114141230969e-06,1.919527417261481861e-06,1.423092711297556434e+01,1.437103308848942618e+01,1.469358749971200950e+01
7.150000000000000355e+00,3.419600210901326762e-13,2.306417185294008982e-06,2.416294411010943036e-06,1.402978629343712669e+01,1.415458866312476260e+01,1.445786750016957001e+01
7.200000000000000178e+00,3.836193296402184813e-13,2.887195753570811075e-06,3.041584970408814237e-06,1.383422405895812091e+01,1.394494434538080441e+01,1.423134918811377503e+01
7.250000000000000000e+00,4.303447364948437041e-13,3.613185952469192994e-06,3.828635045115182964e-06,1.364362221017648125e+01,1.374142660082766554e+01,1.401279812895458576e+01
7.299999999999999822e+00,4.827499762016009316e-13,4.520573834109718002e-06,4.819268877615788966e-06,1.345745885578662637e+01,1.354347162710297425e+01,1.380133776541621415e+01
7.349999999999999645e+00,5.415225276245835419e-13,5.654571296382653162e-06,6.066115583686591060e-06,1.327515706105563709e+01,1.335033243129929303e+01,1.359613832832154401e+01
7.400000000000000355e+00,6.074323173229811604e-13,7.071696829483355777e-06,7.635396724302044499e-06,1.309619105437570852e+01,1.316115541206279005e+01,1.339606921469126632e+01
7.450000000000000178e+00,6.813414090128788753e-13,8.842528707300837824e-06,9.610431492010429328e-06,1.292014769737024693e+01,1.297524519233852658e+01,1.320018067767462355e+01
7.500000000000000000e+00,7.642147799634018066e-13,1.105517690358777502e-05,1.209604362001792930e-05,1.274671654741919724e+01,1.279210523411268241e+01,1.300784548216340397e+01
7.549999999999999822e+00,8.571322925170993284e-13,1.381969743836903979e-05,1.522410107770002620e-05,1.257560751718769154e+01,1.261134886055606330e+01,1.281872769391625155e+01
7.599999999999999645e+00,9.613019759031694328e-13,1.727376393116134308e-05,1.916047845906262504e-05,1.240646792353813055e+01,1.243239756780041461e+01,1.263213006176231090e+01
7.650000000000000355e+00,1.078074739774009955e-12,2.158937175546976750e-05,2.411380563730343204e-05,1.223898210807524123e+01,1.225472566490962834e+01,1.244739771127876793e+01
7.700000000000000178e+00,1.208960645964768919e-12,2.698126615137734307e-05,3.034645842965067608e-05,1.207289485096242032e+01,1.207792918143839955e+01,1.226405856335920674e+01
