# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,1.321878151970546329e-10,4.171965655617364353e-05,4.180211844039962923e-05,1.114709451071864521e+01,1.149010382366994776e+01,1.198928894704195613e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.680967787725686887e-05,4.690265783115182802e-05,1.102167331857567234e+01,1.136469616551163142e+01,1.186388349157835620e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.251872100678416463e-05,5.262553372499379189e-05,1.089578142523228621e+01,1.123881318097831183e+01,1.173799539337687747e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.892101823514202101e-05,5.904667659396805712e-05,1.076967694850809210e+01,1.111269083435595917e+01,1.161185035753243966e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.610181121861598633e-05,6.625128025806404307e-05,1.064288090942423537e+01,1.098588993669770986e+01,1.148501827840560452e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.415538001298498474e-05,7.433493177801762789e-05,1.051541202563773680e+01,1.085842653300664296e+01,1.135751165350028913e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.318771033157937908e-05,8.340487911107849212e-05,1.038715085225880586e+01,1.073018872210268881e+01,1.122921830694081535e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.331905053558449815e-05,9.358145331014023596e-05,1.025761971814005591e+01,1.060073414448093132e+01,1.109970442719182415e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046808409126980975e-04,1.049996640927925730e-04,1.012720981570976875e+01,1.047041916242181969e+01,1.096931843315915955e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174219666508777234e-04,1.178109898862245153e-04,9.995724980480673594e+00,1.033905719640350895e+01,1.083787792356805824e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317084646460125227e-04,1.321853860294444898e-04,9.863025237529889466e+00,1.020650786819420830e+01,1.070524785401774182e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477266066887933209e-04,1.483135376779151724e-04,9.728811895439740454e+00,1.007248050161621222e+01,1.057115934414295566e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.656877839204097340e-04,1.664093871859453184e-04,9.592291408654723739e+00,9.936225454296184978e+00,1.043489679450296137e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.858248020212773682e-04,1.867129693493121739e-04,9.453090923001752799e+00,9.797367366474873052e+00,1.029608236282544453e+01
6.200000000000000178e+00,1.321710460497052221e-10,2.083962549851940801e-04,2.094935919344847130e-04,9.310666026017727859e+00,9.655339105482624973e+00,1.015408831636423059e+01
6.250000000000000000e+00,1.321684900685529955e-10,2.336882078623381980e-04,2.350534034568093440e-04,9.163962843242131839e+00,9.509033743976445407e+00,1.000765792744445548e+01
6.299999999999999822e+00,1.321656222693747660e-10,2.620171047395352098e-04,2.637313952391998344e-04,9.009331484659092837e+00,9.354678896157352597e+00,9.852839567751082939e+00
6.349999999999999645e+00,1.321624046198513373e-10,2.937306123514715262e-04,2.959078904731527728e-04,8.842961919427395401e+00,9.188222418309962336e+00,9.685257467110915286e+00
6.400000000000000355e+00,1.321587944509628442e-10,3.292055835659275179e-04,3.320095793581434628e-04,8.669452944639473913e+00,9.014186049752325403e+00,9.509161172925729488e+00
6.450000000000000178e+00,1.321547438922461566e-10,3.688644435687350167e-04,3.725151665250364566e-04,8.484564178787223909e+00,8.827761438775681313e+00,9.319513746962421408e+00
