# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,1.406352038986229925e-13,2.219407268420218546e-08,2.223794085578513132e-08,1.933235381219139981e+01,1.967536312514270946e+01,2.017454824851471074e+01
5.549999999999999822e+00,1.577912350644723908e-13,2.794018299818793463e-08,2.799542874743771912e-08,1.908234144081254158e+01,1.942535174482418370e+01,1.992453702949300975e+01
5.599999999999999645e+00,1.770395677874734989e-13,3.517371964825694050e-08,3.524347853104379920e-08,1.883218821723924918e+01,1.917520264762215021e+01,1.967438812288546046e+01
5.650000000000000355e+00,1.986352294359298820e-13,4.427924356873041610e-08,4.436795288354137942e-08,1.858186946476242696e+01,1.892488588211139700e+01,1.942406854467392918e+01
5.700000000000000178e+00,2.228642950107381634e-13,5.574068429194490817e-08,5.585459034028183597e-08,1.833133519850062498e+01,1.867434981921482517e+01,1.917352438504987333e+01
5.750000000000000000e+00,2.500476573076813160e-13,7.016718434759205469e-08,7.031485207957714112e-08,1.808046321407412194e+01,1.842347764579019298e+01,1.892263843464728268e+01
5.799999999999999822e+00,2.805452523950311205e-13,8.832504874998641764e-08,8.851845476072532388e-08,1.782920229362202491e+01,1.817221828324166921e+01,1.867135750671624095e+01
5.849999999999999645e+00,3.147607947444093477e-13,1.111788860672384043e-07,1.114343191550963611e-07,1.757740102573029617e+01,1.792042891485202460e+01,1.841953915020725674e+01
5.900000000000000355e+00,3.531470826681575354e-13,1.399424181151138993e-07,1.402821105042539737e-07,1.732493734954137921e+01,1.766799364614035994e+01,1.816706748241725933e+01
5.950000000000000178e+00,3.962119417210973573e-13,1.761421786762201247e-07,1.765971066770784503e-07,1.707177711751347715e+01,1.741487739507098098e+01,1.791390637962312837e+01
6.000000000000000000e+00,4.445248814817184107e-13,2.216989125114780168e-07,2.223118406147397609e-07,1.681779302367213802e+01,1.716095817696490400e+01,1.765993506254088885e+01
6.049999999999999822e+00,4.987245497029933094e-13,2.790279436040828087e-07,2.798588491342959882e-07,1.656290692025466882e+01,1.690615740320512117e+01,1.740507727287457129e+01
