# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,7.959407737413276762e-14,1.256076472881840696e-08,1.258559197842586898e-08,1.995040611948105891e+01,2.029341543243236146e+01,2.079260055580436983e+01
5.549999999999999822e+00,8.930430071924551205e-14,1.581285124178877041e-08,1.584411778161937574e-08,1.970038909004944117e+01,2.004339939415506677e+01,2.054258467883918371e+01
5.599999999999999645e+00,1.001989044373207444e-13,1.990679413551643862e-08,1.994627462853012132e-08,1.945023065064627588e+01,1.979324508083698220e+01,2.029243055602984214e+01
5.650000000000000355e+00,1.124222893100915285e-13,2.506025957952599020e-08,2.511046543695961824e-08,1.919990605348368717e+01,1.954292247066277355e+01,2.004210513334163579e+01
5.700000000000000178e+00,1.261364457861491254e-13,3.154716215559025443e-08,3.161162866786558619e-08,1.894936524620932516e+01,1.929237986657562942e+01,1.979155443290974858e+01
5.750000000000000000e+00,1.415230925078800210e-13,3.971229659342467887e-08,3.979587141019369394e-08,1.869848592263032572e+01,1.904150035404560271e+01,1.954066114402252197e+01
5.799999999999999822e+00,1.587860737761248702e-13,4.998942620282931374e-08,5.009888793411085040e-08,1.844721679212563004e+01,1.879023278127589691e+01,1.928937200693882659e+01
5.849999999999999645e+00,1.781540470298969073e-13,6.292457657421637996e-08,6.306914464155670389e-08,1.819540632101858080e+01,1.853843420906059691e+01,1.903754444801817414e+01
5.900000000000000355e+00,1.998834950766387185e-13,7.920480489551808318e-08,7.939706274762189759e-08,1.794293236740957553e+01,1.828598866108584531e+01,1.878506250306672598e+01
5.950000000000000178e+00,2.242621018784267232e-13,9.969427018227347578e-08,9.995175075355891785e-08,1.768976062862683563e+01,1.803286090020873900e+01,1.853188989291714250e+01
6.000000000000000000e+00,2.516125352225978213e-13,1.254803292615543095e-07,1.258272379231997299e-07,1.743576368533543786e+01,1.777892882770277083e+01,1.827790572468563823e+01
6.049999999999999822e+00,2.822966846255185180e-13,1.579303794400284384e-07,1.584006649229652312e-07,1.718086320855034188e+01,1.752411367396634745e+01,1.802303355859128686e+01
6.099999999999999645e+00,3.167204083822757491e-13,1.987649881485526147e-07,1.994055225542595747e-07,1.692482423202524444e+01,1.726819016805765727e+01,1.776705750005063322e+01
6.150000000000000355e+00,3.553388498315392672e-13,2.501483656629414517e-07,2.510238264570763318e-07,1.666735930126984755e+01,1.701088152798852349e+01,1.750971156544243001e+01
6.200000000000000178e+00,3.986623897037987860e-13,3.148016583812239256e-07,3.160021198836835148e-07,1.640813900696875294e+01,1.675186468773082993e+01,1.725067507928770283e+01
6.250000000000000000e+00,4.472633089130727368e-13,3.961449680675306226e-07,3.977974570089370068e-07,1.614673766925177034e+01,1.649071101842016418e+01,1.698949893361138663e+01
6.299999999999999822e+00,5.017832443864208311e-13,4.984746320768465979e-07,5.007611100240253436e-07,1.588235246492007491e+01,1.622659795452387499e+01,1.672530567184207939e+01
6.349999999999999645e+00,5.629415295487894721e-13,6.271848743502121054e-07,6.303697327564175014e-07,1.561336847760112079e+01,1.595785514044816011e+01,1.645632981678341622e+01
6.400000000000000355e+00,6.315445209337410008e-13,7.890419829477161735e-07,7.935162255047621720e-07,1.533842214356710087e+01,1.568302731438577524e+01,1.618095633379034126e+01
6.450000000000000178e+00,7.084960231054148901e-13,9.925264743921804123e-07,9.988756964053616056e-07,1.505716466234819961e+01,1.540164492272327124e+01,1.589853577901295978e+01
6.500000000000000000e+00,7.948089356718012111e-13,1.248267220320355769e-06,1.257365873410564916e-06,1.476795635709412835e+01,1.511165255743618019e+01,1.560686040319342283e+01
6.549999999999999822e+00,8.916182586423132577e-13,1.569575526273925929e-06,1.582726297008226913e-06,1.447376613203028484e+01,1.481458577077583527e+01,1.530709366117235959e+01
6.599999999999999645e+00,1.000195605704435821e-12,1.973086573509411654e-06,1.992246873241838760e-06,1.418045871118450663e+01,1.451369439023353891e+01,1.500134604707149322e+01
6.650000000000000355e+00,1.121965389097303814e-12,2.479484921790252493e-06,2.507684206156831780e-06,1.388988935901825528e+01,1.421081230077042790e+01,1.469230012799783935e+01
6.700000000000000178e+00,1.258522854525909434e-12,3.114896080771680255e-06,3.156413979558759220e-06,1.360704479122394872e+01,1.391255561943793850e+01,1.438701170010650543e+01
6.750000000000000000e+00,1.411654159801701832e-12,3.912095585873196700e-06,3.972880006367976741e-06,1.333483971655199696e+01,1.362497944013325935e+01,1.409165925325159208e+01
6.799999999999999822e+00,1.583358706337511196e-12,4.911674281143884752e-06,5.000416056270229158e-06,1.307195299980817538e+01,1.334428325184268971e+01,1.379990970728715638e+01
6.849999999999999645e+00,1.775873947874978704e-12,6.164112297181193919e-06,6.293535987779073973e-06,1.281763495238815409e+01,1.306789670413826343e+01,1.350809118423582333e+01
6.900000000000000355e+00,1.991702915337890832e-12,7.732483632864682572e-06,7.920812040387100079e-06,1.257276640023660974e+01,1.279639910501880706e+01,1.321641700549927378e+01
6.950000000000000178e+00,2.233644709749112379e-12,9.695451080458638020e-06,9.968491593837477393e-06,1.233874091986260879e+01,1.253599665422401443e+01,1.293056503315358441e+01
7.000000000000000000e+00,2.504828225739450320e-12,1.215113588071089626e-05,1.254504081531262598e-05,1.211533706298612145e+01,1.229046439836459115e+01,1.265903414280897721e+01
7.049999999999999822e+00,2.808749375017555540e-12,1.522203328594340798e-05,1.578685125193278135e-05,1.190088764901204144e+01,1.205739042861969779e+01,1.240169662636863990e+01
7.099999999999999645e+00,3.149312080569958407e-12,1.906096452539206453e-05,1.986540493789417712e-05,1.169389491565517147e+01,1.183380916681724671e+01,1.215617138543463227e+01
7.150000000000000355e+00,3.530873306130994609e-12,2.385845588439264550e-05,2.499626784460576377e-05,1.149331964778224346e+01,1.161791194309756037e+01,1.192097318764746205e+01
7.200000000000000178e+00,3.958292368794922252e-12,2.985223008449404097e-05,3.145037406175554774e-05,1.129839833742039445e+01,1.140888942541134554e+01,1.169505416252521712e+01
7.250000000000000000e+00,4.436984751956526767e-12,3.733894024268849055e-05,3.956817831903539822e-05,1.110852170505507530e+01,1.120607714174637692e+01,1.147718724062767848e+01
7.299999999999999822e+00,4.972980586526468616e-12,4.668833612545651300e-05,4.977739768868475980e-05,1.092317811316220144e+01,1.100892185609481544e+01,1.126650569101236954e+01
7.349999999999999645e+00,5.572987894867495422e-12,5.836148345937882575e-05,6.261524103961495365e-05,1.074180126271396318e+01,1.081668676553746877e+01,1.106219027046910952e+01
