objID,specobjID,z,zErr,petroMag_u,petroMagErr_u,extinction_u,petroMag_g,petroMagErr_g,extinction_g,petroMag_r,petroMagErr_r,extinction_r,petroMag_i,petroMagErr_i,extinction_i,petroMag_z,petroMagErr_z,extinction_z
588015507670630487,113375391057444864,0.085364,0,20.252283,0.156506,0.172704,18.503548,0.018314,0.127074,17.555351,0.011959,0.092165,17.136635,0.01258,0.069886,16.861425,0.025347,0.04955
588015507670630500,113375391090999296,0.085477,0,18.941706,0.12853,0.17185,17.291958,0.016928,0.126445,16.771568,0.018337,0.091709,16.441031,0.02298,0.06954,16.179014,0.039127,0.049305
588015507670696033,113375391086804992,0.038445,0,19.051811,0.162037,0.181806,17.704165,0.020529,0.133771,17.219446,0.018432,0.097022,16.916536,0.0183,0.073569,16.715345,0.053018,0.052161
588015507670696052,113375390902255616,0.107614,0,19.080118,0.089186,0.196612,17.938538,0.017063,0.144665,17.219978,0.011728,0.104923,16.873983,0.01327,0.07956,16.603397,0.034064,0.056409
588015507670696063,113375390965170176,0.161475,0,20.10014,0.199547,0.172974,18.513918,0.026501,0.127273,17.384398,0.014467,0.092309,16.938931,0.0138,0.069995,16.587368,0.030755,0.049627
588015507670696064,113375390898061312,0.107254,0,18.946009,0.063945,0.200493,17.914589,0.013069,0.147521,17.436192,0.009995123,0.106994,17.089388,0.01211,0.081131,16.942238,0.03651,0.057523
588015507670696094,113375390919032832,0.162013,0,21.585934,0.697052,0.184604,19.123835,0.049285,0.13583,17.977709,0.033636,0.098515,17.47456,0.029982,0.074701,17.213865,0.053797,0.052964
588015507670761622,113375390927421440,0.070215,0,19.194643,0.05696,0.171029,17.937611,0.009955195,0.125841,17.382462,0.007413737,0.091271,17.028027,0.008577362,0.069208,16.790621,0.022631,0.049069
588015507670827071,113375390935810048,0.161625,0,20.197243,0.262479,0.170571,18.73041,0.035278,0.125505,17.673748,0.014049,0.091026,17.16431,0.017531,0.069023,16.853251,0.043466,0.048938
588015507670892613,113375390721900544,0.04296,0,17.089869,0.02994,0.16064,15.232209,0.006398275,0.118197,14.356459,0.007491524,0.085727,13.944185,0.007719627,0.065004,13.659661,0.006883256,0.046089
588015507670892660,113375390747066368,0.059819,0,19.736147,0.172005,0.152316,18.513802,0.028372,0.112073,17.936094,0.025094,0.081285,17.644644,0.026493,0.061636,17.413805,0.071029,0.0437
588015507670958176,113375390415716352,0.157917,0,20.040874,0.210594,0.161832,18.686102,0.030875,0.119075,17.655489,0.014908,0.086363,17.188684,0.017378,0.065486,16.829855,0.039525,0.046431
588015507670958183,113375390436687872,0.121093,0,19.477814,0.277557,0.167363,18.509619,0.077749,0.123144,17.675138,0.046243,0.089315,17.282324,0.047911,0.067725,17.011024,0.052985,0.048018
588015507670958219,113375390398939136,0.126281,0,19.092714,0.071533,0.169223,17.774757,0.011241,0.124513,17.173002,0.007841435,0.090307,16.799957,0.009256903,0.068477,16.589165,0.025446,0.048551
588015507670958254,113375390453465088,0.157697,0,19.918318,0.182361,0.164142,18.568464,0.027197,0.120774,17.977112,0.016462,0.087595,17.604315,0.022547,0.066421,17.257017,0.056829,0.047093
588015507671023688,113375390390550528,0.058939,0,17.834557,0.085956,0.142502,15.898047,0.00806312,0.104852,15.275689,0.005190376,0.076047,14.994034,0.006739619,0.057664,14.887564,0.019515,0.040885
588015507671023712,113375390445076480,0.129191,0,19.657932,0.1212,0.158919,18.323219,0.018072,0.116931,17.415913,0.01046,0.084808,16.97084,0.011959,0.064308,16.664429,0.02727,0.045595
588015507671089304,113375390239555584,0.126607,0,19.894081,0.176134,0.138711,18.460146,0.024023,0.102062,17.403616,0.011091,0.074024,16.971556,0.012792,0.05613,16.686474,0.032919,0.039797
588015507671089324,113375390243749888,0.0605,0,18.872377,0.200828,0.147303,16.833042,0.016335,0.108384,16.008068,0.010995,0.078609,15.611996,0.014893,0.059607,15.245016,0.026351,0.042262
588015507671154815,113375390247944192,0.059523,0,17.514269,0.092554,0.145138,15.73682,0.013058,0.106791,14.948312,0.011898,0.077454,14.538186,0.009913686,0.058731,14.253097,0.013002,0.041641
588015507671154831,113375390222778368,0.060463,0,17.984474,0.060152,0.1438,16.619278,0.010237,0.105807,15.908895,0.005878207,0.07674,15.479725,0.007872283,0.05819,15.258952,0.016188,0.041257
588015507671154840,113375390256332800,0.079627,0,18.921467,0.061187,0.144066,17.948099,0.012808,0.106003,17.494648,0.009940295,0.076882,17.114374,0.011844,0.058297,17.020811,0.036445,0.041334
588015507671154846,113375390289887232,0.126393,0,18.584589,0.11777,0.148454,17.114323,0.014995,0.109231,16.556753,0.012271,0.079224,16.182625,0.012813,0.060073,16.021994,0.036397,0.042592
588015507671154853,113375390235361280,0.041575,0,18.954443,0.114832,0.139372,17.634069,0.017282,0.102549,17.023651,0.010348,0.074377,16.675831,0.014322,0.056398,16.560183,0.044841,0.039987
588015507671154878,113375390063394816,0.241615,0,19.844549,0.263622,0.140435,18.302324,0.03613,0.103331,16.954281,0.021362,0.074944,16.436903,0.021746,0.056828,16.189344,0.038813,0.040292
588015507671154893,113375390101143552,0.090089,0,19.442078,0.383657,0.144764,17.990435,0.330236,0.106516,17.113485,0.361089,0.077254,16.464294,0.272881,0.05858,16.017612,0.26154,0.041534
588015507671155027,113375390088560640,0.241468,0,29.563627,0.804843,0.145323,19.174915,0.078681,0.106927,17.610653,0.02139,0.077553,17.078497,0.024962,0.058806,16.783659,0.061741,0.041694
588015507671220319,113375390105337856,0.174851,0,20.526457,0.209388,0.134432,18.833475,0.025224,0.098914,17.626566,0.013993,0.07174,17.142637,0.01529,0.054399,16.810566,0.025526,0.038569
588015507671220371,113375389887234048,0.045747,0,18.13777,0.049736,0.132633,16.401264,0.006079026,0.09759,15.533496,0.003956302,0.070781,15.098884,0.004442433,0.053671,14.776736,0.008165297,0.038053
588015507671220415,113375390055006208,0.05997,0,18.528374,0.161588,0.141953,17.063208,0.021837,0.104448,16.497723,0.010206,0.075754,16.301798,0.021615,0.057442,16.0494,0.055807,0.040727
588015507671285840,113375389883039744,0.126274,0,19.33489,0.123891,0.132149,18.118092,0.0199,0.097234,17.368237,0.011953,0.070522,16.952717,0.015203,0.053475,16.725113,0.038467,0.037914
588015507671285914,113375389895622656,0.121239,0,19.611677,0.246306,0.139564,17.80393,0.022555,0.10269,17.167742,0.014803,0.074479,16.847403,0.018744,0.056475,16.692833,0.055965,0.040042
588015507671351356,113375389891428352,0.120978,0,19.965393,0.207925,0.13772,18.622208,0.034966,0.101333,17.604752,0.018881,0.073495,17.189631,0.022852,0.055729,16.702232,0.044861,0.039513
588015507671351371,113375389912399872,0.081288,0,19.444155,0.152192,0.14309,17.921143,0.025269,0.105284,16.959631,0.020071,0.076361,16.501541,0.018059,0.057902,16.194984,0.02624,0.041053
588015507671351470,113375389958537216,0.236703,0,21.529837,0.794798,0.141271,19.202637,0.051784,0.103946,17.90419,0.024641,0.07539,17.340216,0.022887,0.057166,17.011086,0.045518,0.040531
588015507671351495,113375389929177088,0.043727,0,19.211563,0.143192,0.141941,17.836597,0.020682,0.104439,17.351978,0.01433,0.075748,17.112579,0.0211,0.057437,16.945446,0.061919,0.040724
588015507671416911,113657201049993216,0.237937,0,21.219723,1.222079,0.143857,19.152306,0.082869,0.105849,17.578758,0.024718,0.07677,17.030987,0.025826,0.058213,16.674496,0.059765,0.041273
588015507671416944,113657201070964736,0.121035,0,19.392193,0.134427,0.144487,18.272964,0.023399,0.106312,17.244732,0.012134,0.077106,16.82291,0.013258,0.058467,16.434435,0.029274,0.041454
588015507671416982,113657201096130560,0.120573,0,20.583441,0.241927,0.145694,18.552544,0.019404,0.1072,17.507442,0.012456,0.07775,17.067091,0.011969,0.058956,16.733238,0.023959,0.0418
588015507671482483,113657200898998272,0.135817,0,20.742804,0.296709,0.149663,18.302303,0.016632,0.11012,17.299715,0.008555549,0.079868,16.912203,0.009624534,0.060562,16.567265,0.022466,0.042939
588015507671482543,113657201100324864,0.042842,0,18.724567,0.110382,0.143812,17.764894,0.021914,0.105815,17.355131,0.014528,0.076746,17.106421,0.023811,0.058194,17.105312,0.081997,0.04126
588015507671482578,113657200882221056,0.234969,0,20.420614,0.850286,0.150234,18.602533,0.099857,0.110541,17.391357,0.086291,0.080173,16.990711,0.059045,0.060793,16.488743,0.098565,0.043103
588015507671547952,113657200903192576,0.237486,0,22.481686,3.888649,0.146003,19.14279,0.093772,0.107428,17.351757,0.151064,0.077916,16.913752,0.026193,0.059081,16.653797,0.064643,0.041889
588015507671548024,113657200936747008,0.043575,0,18.15465,0.078645,0.143203,16.054932,0.030773,0.105367,15.128072,0.025875,0.076421,14.67094,0.024624,0.057948,14.33675,0.024194,0.041086
588015507671548054,113657200878026752,0.141765,0,19.587969,0.167119,0.142844,18.286474,0.030276,0.105103,17.359026,0.01795,0.076229,16.90189,0.020265,0.057802,16.545918,0.037032,0.040983
